"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"800","img_pilot/0.png","ArrowRight","image-keyboard-response","2","2.0.0","7903"
"610","img_pilot/1.png","ArrowLeft","image-keyboard-response","3","2.0.0","8516"
"601","img_pilot/2.png","ArrowRight","image-keyboard-response","4","2.0.0","9121"
"592","img_pilot/3.png","ArrowRight","image-keyboard-response","5","2.0.0","9716"
"728","img_pilot/4.png","ArrowRight","image-keyboard-response","6","2.0.0","10448"
"705","img_pilot/5.png","ArrowRight","image-keyboard-response","7","2.0.0","11157"
"752","img_pilot/6.png","ArrowLeft","image-keyboard-response","8","2.0.0","11914"
"600","img_pilot/7.png","ArrowRight","image-keyboard-response","9","2.0.0","12517"
"749","img_pilot/8.png","ArrowLeft","image-keyboard-response","10","2.0.0","13269"
"741","img_pilot/9.png","ArrowRight","image-keyboard-response","11","2.0.0","14015"
"862","img_pilot/10.png","ArrowLeft","image-keyboard-response","12","2.0.0","14880"
"898","img_pilot/11.png","ArrowLeft","image-keyboard-response","13","2.0.0","15781"
"1166","img_pilot/12.png","ArrowRight","image-keyboard-response","14","2.0.0","16951"
"878","img_pilot/13.png","ArrowLeft","image-keyboard-response","15","2.0.0","17833"
"713","img_pilot/14.png","ArrowLeft","image-keyboard-response","16","2.0.0","18548"
"791","img_pilot/15.png","ArrowRight","image-keyboard-response","17","2.0.0","19343"
"703","img_pilot/16.png","ArrowRight","image-keyboard-response","18","2.0.0","20051"
"745","img_pilot/17.png","ArrowLeft","image-keyboard-response","19","2.0.0","20799"
"659","img_pilot/18.png","ArrowRight","image-keyboard-response","20","2.0.0","21462"
"666","img_pilot/19.png","ArrowLeft","image-keyboard-response","21","2.0.0","22133"
"712","img_pilot/20.png","ArrowLeft","image-keyboard-response","22","2.0.0","22848"
"771","img_pilot/21.png","ArrowRight","image-keyboard-response","23","2.0.0","23623"
"789","img_pilot/22.png","ArrowRight","image-keyboard-response","24","2.0.0","24415"
"917","img_pilot/23.png","ArrowRight","image-keyboard-response","25","2.0.0","25336"
"711","img_pilot/24.png","ArrowRight","image-keyboard-response","26","2.0.0","26052"
"756","img_pilot/25.png","ArrowRight","image-keyboard-response","27","2.0.0","26811"
"823","img_pilot/26.png","ArrowRight","image-keyboard-response","28","2.0.0","27637"
"675","img_pilot/27.png","ArrowLeft","image-keyboard-response","29","2.0.0","28316"
"715","img_pilot/28.png","ArrowRight","image-keyboard-response","30","2.0.0","29034"
"725","img_pilot/29.png","ArrowRight","image-keyboard-response","31","2.0.0","29762"
"695","img_pilot/30.png","ArrowLeft","image-keyboard-response","32","2.0.0","30459"
"988","img_pilot/31.png","ArrowRight","image-keyboard-response","33","2.0.0","31450"
"865","img_pilot/32.png","ArrowRight","image-keyboard-response","34","2.0.0","32320"
"745","img_pilot/33.png","ArrowLeft","image-keyboard-response","35","2.0.0","33069"
"732","img_pilot/34.png","ArrowRight","image-keyboard-response","36","2.0.0","33805"
"765","img_pilot/35.png","ArrowLeft","image-keyboard-response","37","2.0.0","34575"
"754","img_pilot/36.png","ArrowLeft","image-keyboard-response","38","2.0.0","35332"
"802","img_pilot/37.png","ArrowRight","image-keyboard-response","39","2.0.0","36137"
"867","img_pilot/38.png","ArrowRight","image-keyboard-response","40","2.0.0","37007"
"827","img_pilot/39.png","ArrowRight","image-keyboard-response","41","2.0.0","37838"
"612","img_pilot/40.png","ArrowLeft","image-keyboard-response","42","2.0.0","38454"
"719","img_pilot/41.png","ArrowRight","image-keyboard-response","43","2.0.0","39177"
